epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,3925.98,1.21929,0.57128,0.98333,0.98342,0.99012,0.98986,0.65522,1.11242,0.45851,0.89981,0.0068716,0.0068716,0.0068716
160,3982.32,1.21459,0.57065,0.9796,0.98336,0.99019,0.98987,0.65563,1.11166,0.45829,0.89938,0.0068518,0.0068518,0.0068518
161,4040.09,1.2153,0.57468,0.98655,0.98335,0.99028,0.98987,0.65625,1.11017,0.45777,0.899,0.006832,0.006832,0.006832
162,4098.32,1.21258,0.57171,0.98132,0.98338,0.99029,0.98984,0.65694,1.10967,0.45606,0.89876,0.0068122,0.0068122,0.0068122
163,4157.29,1.20687,0.56542,0.9814,0.9834,0.99026,0.98989,0.65697,1.1089,0.45521,0.89872,0.0067924,0.0067924,0.0067924
164,4218.69,1.19899,0.56242,0.97503,0.98341,0.99024,0.98989,0.65758,1.10875,0.45442,0.89865,0.0067726,0.0067726,0.0067726
165,4276.98,1.20119,0.56464,0.97879,0.98315,0.99064,0.98988,0.65777,1.10778,0.4542,0.89829,0.0067528,0.0067528,0.0067528
166,4332.59,1.20595,0.56258,0.97873,0.9834,0.99034,0.98984,0.65822,1.10727,0.45352,0.8982,0.006733,0.006733,0.006733
167,4389.11,1.20141,0.56138,0.97939,0.98345,0.99026,0.98981,0.65823,1.1064,0.45436,0.89804,0.0067132,0.0067132,0.0067132
168,4444.8,1.20017,0.56252,0.97609,0.98346,0.99033,0.98991,0.65849,1.10581,0.45355,0.89773,0.0066934,0.0066934,0.0066934
169,4503.16,1.18908,0.55117,0.97859,0.98311,0.99082,0.98983,0.65839,1.1051,0.45301,0.89754,0.0066736,0.0066736,0.0066736
170,4561.73,1.17971,0.55647,0.97106,0.98308,0.99082,0.98988,0.65981,1.10404,0.45286,0.8973,0.0066538,0.0066538,0.0066538
171,4621.55,1.19237,0.5604,0.97514,0.98345,0.9905,0.98991,0.66014,1.1033,0.45201,0.89704,0.006634,0.006634,0.006634
172,4678.45,1.18897,0.55446,0.97614,0.98311,0.99079,0.98986,0.66031,1.10291,0.45147,0.8968,0.0066142,0.0066142,0.0066142
173,4734.05,1.18342,0.5533,0.97379,0.98343,0.99039,0.98975,0.66098,1.10231,0.45064,0.89673,0.0065944,0.0065944,0.0065944
174,4789.89,1.18151,0.55044,0.97189,0.98344,0.99042,0.98987,0.66088,1.10178,0.45108,0.89652,0.0065746,0.0065746,0.0065746
175,4847.59,1.19296,0.5615,0.9738,0.98347,0.99048,0.98987,0.66142,1.10053,0.45053,0.89634,0.0065548,0.0065548,0.0065548
176,4905.06,1.17966,0.55742,0.97215,0.98347,0.99044,0.98989,0.6624,1.10014,0.44948,0.89606,0.006535,0.006535,0.006535
177,4962.01,1.17599,0.55481,0.96853,0.98346,0.99021,0.9899,0.66301,1.09928,0.44947,0.89583,0.0065152,0.0065152,0.0065152
178,5017.97,1.17902,0.55335,0.96964,0.98348,0.99021,0.98974,0.66307,1.09877,0.44917,0.89579,0.0064954,0.0064954,0.0064954
179,5075.34,1.17804,0.55016,0.97005,0.98351,0.99022,0.98973,0.66364,1.09791,0.44895,0.89563,0.0064756,0.0064756,0.0064756
180,5133.92,1.17278,0.55351,0.96582,0.98358,0.9903,0.98977,0.66451,1.09705,0.44869,0.89538,0.0064558,0.0064558,0.0064558
181,5191.07,1.18161,0.55783,0.97067,0.98356,0.99039,0.98973,0.66528,1.0968,0.44812,0.89532,0.006436,0.006436,0.006436
